Nome do Repositório,Estrelas,Razão Fechamento Issues:
nushell,31321,76.34%
GPT-SoVITS,31320,52.90%
Coursera-ML-AndrewNg-Notes,31301,22.39%
certbot,31238,96.74%
system-design,31222,95.00%
pytorch-image-models,31184,95.11%
chatgpt-web,31160,99.89%
AgentGPT,31149,73.25%
graphql-engine,31010,64.13%
jQuery-File-Upload,30964,98.52%
poetry,30850,89.55%
swc,30834,90.37%
Python,30829,32.19%
NewPipe,30827,86.62%
engineering-blogs,30774,81.32%
linux-command,30758,63.74%
vault,30757,83.09%
Langchain-Chatchat,30751,97.16%
awesome-php,30747,98.53%
zsh-autosuggestions,30734,76.40%
openpose,30655,84.56%
cal.com,30647,88.83%
Blog,30632,31.21%
MS-DOS,30580,0.00%
rxjs,30535,93.23%
modern-unix,30528,19.75%
vimrc,30487,100.00%
leetcode,30443,95.35%
yew,30424,90.61%
p3c,30330,81.54%
learnGitBranching,30303,93.50%
libpku,30301,75.61%
How-To-Ask-Questions-The-Smart-Way,30294,73.33%
html2canvas,30287,64.33%
NeteaseCloudMusicApi,30270,89.01%
OpenHands,30260,90.17%
spacedrive,30253,83.18%
clash-verge-rev,30251,84.21%
serenity,30225,83.14%
spring-boot-examples,30141,93.40%
nps,30132,59.47%
portainer,30130,91.86%
swr,30125,88.67%
dotfiles,30101,63.75%
faiss,30082,91.47%
ruff,30041,80.56%
fairseq,30040,72.96%
selenium,30039,98.53%
AnotherRedisDesktopManager,30031,88.08%
HEAD,29970,78.49%
lottie-web,29967,74.32%
jq,29919,82.95%
C-Plus-Plus,29881,96.52%
nacos,29852,97.31%
autogen,29817,60.49%
detectron2,29779,87.74%
vue-cli,29757,83.02%
linux-insides,29732,83.52%
cockroach,29721,91.84%
pytorch-tutorial,29705,63.48%
HowToLiveLonger,29662,79.84%
foundation-sites,29656,99.10%
awesome-docker,29587,99.20%
jax,29574,76.05%
memos,29570,98.39%
symfony,29556,97.38%
jsoncrack.com,29529,82.65%
spaCy,29518,98.04%
slate,29507,79.66%
floating-ui,29489,98.96%
ControlNet,29485,24.53%
ChatTTS,29474,80.47%
phantomjs,29441,99.70%
react-boilerplate,29439,95.79%
my-tv,29432,85.63%
calculator,29426,66.92%
layui,29405,98.01%
lede,29397,91.52%
sequelize,29373,91.88%
project-guidelines,29360,76.32%
webtorrent,29349,95.83%
gpt-pilot,29340,57.34%
chatgpt-on-wechat,29320,85.79%
leakcanary,29290,94.15%
stanford_alpaca,29282,36.33%
Sortable,29281,74.58%
LLaMA-Factory,29278,97.66%
interactive-coding-challenges,29277,47.76%
echo,29277,96.47%
es6features,29207,63.16%
500lines,29201,55.71%
maybe,29198,97.53%
Hover,29182,77.57%
COVID-19,29139,55.31%
etcher,29094,81.02%
standard,29041,91.12%
upscayl,29037,94.59%
minikube,29037,92.95%
apollo,29021,95.57%
mattermost,28971,91.77%
milvus,28964,94.85%
awesome-remote-job,28941,79.25%
