Nome do Repositório,Estrelas,Releases
handson-ml2,27556,0
llvm-project,27555,112
servo,27552,0
Data-Science-For-Beginners,27536,0
mpv,27533,85
nginxconfig.io,27530,0
Clone-Wars,27509,0
ultralytics,27506,53
react-select,27497,54
legado,27484,115
Charts,27477,38
JavaScript30,27440,0
immer,27426,109
mobx,27421,103
Real-ESRGAN,27416,10
CheatSheetSeries,27403,0
croc,27398,164
waifu2x,27397,3
numpy,27376,116
Daily-Interview-Question,27366,0
k3s,27357,763
backstage,27336,357
yapi,27288,1
underscore,27282,0
docsify,27269,14
xxl-job,27242,33
vhr,27241,0
comprehensive-rust,27228,0
netron,27189,2
weui,27137,48
MonitorControl,27109,24
LLM101n,27105,0
ResumeSample,27105,0
applied-ml,27089,0
JCSprout,27071,0
Complete-Python-3-Bootcamp,27026,0
data-science-ipython-notebooks,27017,0
legacy-homebrew,26997,0
plane,26951,35
react-three-fiber,26945,104
reverse-interview,26894,0
directus,26868,311
os-tutorial,26851,0
refine,26851,1000
gitbook,26844,11
mongoose,26837,143
outline,26801,133
Faker,26787,12
python-fire,26773,10
xstate,26765,359
codemirror5,26746,172
hangzhou_house_knowledge,26717,0
angular-cli,26704,733
rethinkdb,26668,72
helm,26665,195
viper,26645,32
trilium,26634,297
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26626,0
ace,26617,84
gitflow,26606,0
qBittorrent,26594,0
lux,26589,86
mediapipe,26567,55
dokku,26533,277
Python-programming-exercises,26516,0
DevToys,26508,35
commander.js,26507,79
surrealdb,26485,49
server,26444,256
kit,26443,13
aos,26374,0
hosts,26354,667
ruoyi-vue-pro,26336,28
ink,26315,52
90DaysOfDevOps,26308,2
tiptap,26280,827
Deep-Live-Cam,26255,1
Detectron,26236,0
plyr,26235,88
roop,26227,6
bulletproof-react,26218,0
swagger-ui,26216,346
react-virtualized,26212,5
tokio,26211,121
nodemon,26204,97
dnSpy,26195,1
k9s,26191,225
coder2gwy,26172,0
tuning_playbook,26166,0
miaosha,26151,0
bubbletea,26141,39
stb,26125,0
vagrant,26119,122
glances,26098,43
mindsdb,26041,240
UTM,26037,112
nprogress,26033,7
fastai,26019,53
the_silver_searcher,26008,0
xgboost,26005,59
Web,25996,0
Tvlist-awesome-m3u-m3u8,25980,0
mongo,25972,0
select2,25862,29
tinygrad,25845,8
mantine,25838,232
turborepo,25822,388
redash,25819,98
fetch,25804,56
fastText,25799,4
cmder,25776,34
paper-reading,25751,0
hacker-laws,25713,1
fastjson,25699,84
request,25683,0
Depix,25682,0
python-telegram-bot,25675,115
quasar,25647,921
darknet,25633,0
llama3,25630,0
Modernizr,25626,27
awesome-electron,25626,0
fonts,25592,1
lottie-ios,25591,68
lossless-cut,25581,97
butterknife,25560,0
DeepFaceLive,25541,35
emscripten,25540,0
awesome-cto,25522,0
spleeter,25513,2
full-stack-fastapi-template,25500,8
headlessui,25480,109
restic,25468,44
tdesktop,25466,727
fish-shell,25441,44
Rectangle,25429,85
YouCompleteMe,25395,0
ItChat,25382,13
cascadia-code,25366,18
filebrowser,25341,58
awesome-deep-learning-papers,25324,0
modern-js-cheatsheet,25291,0
Signal-Android,25275,20
toBeTopJavaer,25269,0
MiniGPT-4,25252,0
Free-Certifications,25235,0
openssl,25227,31
Pake,25217,28
taichi,25201,115
discord.js,25182,233
ngx-admin,25174,19
fe-interview,25171,2
incubator-seata,25166,40
rollup,25151,477
handson-ml,25150,0
so-vits-svc,25140,0
vllm,25131,33
srs,25113,65
iris,25093,22
Hello-Python,25089,0
dragonfly,25056,67
SDWebImage,25023,149
30-Days-Of-React,24993,0
Avalonia,24978,87
DeepSpeech,24953,105
proxyee-down,24943,49
firecracker,24928,71
LLMs-from-scratch,24928,0
langflow,24922,238
jumpserver,24910,227
apollo,24901,12
faas,24901,11
react-native-elements,24892,85
ChatDev,24871,7
SmartRefreshLayout,24843,12
go-patterns,24839,0
nsq,24807,31
nylas-mail,24801,53
go,24785,0
pipenv,24782,102
eslint,24778,327
setup-ipsec-vpn,24776,0
textual,24775,135
feather,24748,53
diffusers,24740,74
awesome-vscode,24732,0
table,24716,262
awesome-swift,24667,0
localForage,24664,26
EventBus,24658,7
openzeppelin-contracts,24649,88
react-admin,24642,357
micro,24635,36
awesome-actions,24631,0
vscodium,24621,191
rust-course,24614,0
TrackersListCollection,24610,0
devtools,24599,89
create-t3-app,24598,133
docker_practice,24597,15
idiomatic.js,24564,0
eShopOnContainers,24553,11
iTerm2-Color-Schemes,24553,0
awesome-datascience,24514,9
envoy,24509,171
Mask_RCNN,24490,3
autocomplete,24484,1000
logrus,24445,19
CasaOS,24431,92
locust,24429,121
flameshot,24374,25
fyne,24333,45
RxSwift,24299,74
Telegram,24292,93
vnpy,24281,60
k6,24280,62
CLIP,24279,0
celery,24277,50
core-js,24276,243
components,24273,494
Wox,24264,39
pkg,24263,41
BaseRecyclerViewAdapterHelper,24261,209
coc.nvim,24258,82
wttr.in,24255,0
medusa,24229,80
stats,24221,258
vapor,24219,559
awesome-sysadmin,24217,0
data-engineering-zoomcamp,24208,0
wiki,24203,118
elixir,24185,152
nanoid,24163,3
AdGuardHome,24146,184
mdb-ui-kit,24144,38
