Nome do Repositório,Estrelas,Tempo Desde a Ultima Atualizacao
llama3,25718,0.71
Depix,25717,4.10
python-telegram-bot,25713,2.35
langflow,25701,0.04
fastjson,25700,5.41
request,25680,0.69
quasar,25671,8.69
lossless-cut,25651,0.95
darknet,25649,7.84
DeepFaceLive,25647,0.09
Modernizr,25630,15.00
awesome-electron,25630,0.58
lottie-ios,25608,4.32
fonts,25597,3.07
full-stack-fastapi-template,25595,0.23
butterknife,25565,2.27
emscripten,25549,7.26
awesome-cto,25547,0.50
spleeter,25543,4.63
tdesktop,25534,1.44
restic,25522,5.15
headlessui,25509,2.19
fish-shell,25480,0.85
Rectangle,25461,8.64
filebrowser,25405,2.04
vllm,25396,1.07
YouCompleteMe,25395,8.62
ItChat,25393,2.02
cascadia-code,25381,11.20
awesome-deep-learning-papers,25336,9.70
Signal-Android,25301,1.58
Free-Certifications,25301,0.62
taichi,25299,4.20
modern-js-cheatsheet,25293,3.68
Pake,25287,0.91
toBeTopJavaer,25270,6.79
MiniGPT-4,25266,1.49
openssl,25260,4.38
discord.js,25197,3.88
Hello-Python,25194,0.37
ngx-admin,25181,15.54
incubator-seata,25175,3.77
so-vits-svc,25174,9.51
fe-interview,25170,21.68
rollup,25164,7.57
handson-ml,25153,6.66
srs,25152,4.67
iris,25105,2.43
dragonfly,25096,0.18
LLMs-from-scratch,25071,1.22
SDWebImage,25027,36.92
30-Days-Of-React,25027,4.68
Avalonia,25009,9.20
DeepSpeech,24968,1.68
firecracker,24955,0.29
proxyee-down,24941,4.56
jumpserver,24930,0.71
apollo,24928,4.41
faas,24919,2.89
react-native-elements,24909,5.69
ChatDev,24907,5.06
go-patterns,24868,7.22
SmartRefreshLayout,24854,2.19
textual,24826,0.98
nsq,24817,3.11
setup-ipsec-vpn,24816,3.50
diffusers,24815,1.46
nylas-mail,24807,5.87
go,24796,5.76
eslint,24791,1.03
pipenv,24781,2.75
feather,24766,3.01
awesome-vscode,24746,0.99
table,24741,1.33
k6,24722,0.19
awesome-swift,24677,5.38
localForage,24674,1.28
TrackersListCollection,24671,1.40
vscodium,24670,0.31
react-admin,24667,4.61
EventBus,24664,1.53
openzeppelin-contracts,24663,7.15
micro,24656,3.14
awesome-actions,24652,11.44
rust-course,24641,1.79
create-t3-app,24638,0.74
docker_practice,24605,6.49
devtools,24602,0.38
idiomatic.js,24577,2.90
iTerm2-Color-Schemes,24566,9.43
eShopOnContainers,24546,29.78
awesome-datascience,24538,7.55
envoy,24516,1.98
autocomplete,24506,0.50
CasaOS,24504,0.12
Mask_RCNN,24492,2.65
logrus,24456,0.58
locust,24455,5.39
flameshot,24412,1.14
fyne,24371,0.06
bruno,24357,0.65
CLIP,24341,0.18
vnpy,24336,3.15
Telegram,24322,1.48
RxSwift,24306,23.36
stats,24295,3.81
celery,24293,0.43
core-js,24292,1.59
wttr.in,24285,2.40
awesome-sysadmin,24282,1.22
Wox,24281,2.95
medusa,24281,2.66
components,24276,0.80
pkg,24271,24.69
BaseRecyclerViewAdapterHelper,24262,36.72
coc.nvim,24260,3.69
data-engineering-zoomcamp,24253,3.78
AdGuardHome,24247,1.20
vapor,24242,0.72
wiki,24226,2.80
nanoid,24194,6.74
Umi-OCR,24181,2.85
elixir,24180,0.69
Média,Mediana,Moda/Ocorrências
3.250453672582222,1.6207465830555554,0.13019033277777778/2
