Nome do Repositório,Estrelas,Linguagem Principal
vault,30777,Go
zsh-autosuggestions,30770,Shell
awesome-php,30768,Não especificada
clash-verge-rev,30720,TypeScript
cal.com,30712,TypeScript
openpose,30678,C++
OpenHands,30655,Python
Blog,30641,Não especificada
MS-DOS,30581,Assembly
rxjs,30554,TypeScript
modern-unix,30537,Não especificada
leetcode,30504,Java
vimrc,30501,Vim Script
yew,30442,MDX
spacedrive,30345,TypeScript
p3c,30338,Kotlin
ruff,30323,Rust
learnGitBranching,30319,JavaScript
How-To-Ask-Questions-The-Smart-Way,30311,JavaScript
libpku,30306,TeX
html2canvas,30302,TypeScript
NeteaseCloudMusicApi,30271,Não especificada
serenity,30253,C++
portainer,30191,TypeScript
nps,30152,Go
spring-boot-examples,30150,Java
faiss,30144,C++
lottie-web,30139,JavaScript
swr,30138,TypeScript
dotfiles,30108,Shell
selenium,30064,Java
AnotherRedisDesktopManager,30063,JavaScript
fairseq,30052,Python
HEAD,29973,Não especificada
jq,29965,C
autogen,29949,Jupyter Notebook
C-Plus-Plus,29911,C++
nacos,29873,Java
detectron2,29811,Python
vue-cli,29757,JavaScript
linux-insides,29742,Python
cockroach,29740,Go
pytorch-tutorial,29726,Python
jsoncrack.com,29701,TypeScript
HowToLiveLonger,29682,Não especificada
memos,29651,Go
foundation-sites,29651,HTML
ChatTTS,29644,Python
awesome-docker,29624,Não especificada
jax,29615,Python
symfony,29572,PHP
spaCy,29545,Python
slate,29522,TypeScript
ControlNet,29520,Python
floating-ui,29514,TypeScript
LLaMA-Factory,29491,Python
my-tv,29456,C
react-boilerplate,29445,JavaScript
phantomjs,29442,C++
calculator,29440,C++
chatgpt-on-wechat,29419,Python
layui,29414,JavaScript
lede,29413,C
gpt-pilot,29396,Python
sequelize,29385,TypeScript
webtorrent,29372,JavaScript
project-guidelines,29365,JavaScript
echo,29319,Go
Sortable,29300,JavaScript
leakcanary,29294,Kotlin
stanford_alpaca,29292,Python
interactive-coding-challenges,29283,Python
OpenBB,29275,Python
maybe,29255,Ruby
es6features,29213,Não especificada
500lines,29198,JavaScript
Hover,29186,SCSS
etcher,29144,TypeScript
COVID-19,29136,Não especificada
upscayl,29118,TypeScript
Flowise,29074,TypeScript
minikube,29062,Go
standard,29040,JavaScript
milvus,29032,Go
apollo,29023,Java
mattermost,29014,TypeScript
Deep-Live-Cam,29005,Python
pnpm,28974,TypeScript
awesome-remote-job,28972,Não especificada
ShareX,28959,C#
mmdetection,28916,Python
jsPDF,28910,JavaScript
AI-Expert-Roadmap,28889,JavaScript
hutool,28872,Java
uppy,28850,TypeScript
remote-jobs,28837,JavaScript
particles.js,28826,JavaScript
v2ray-core,28795,Go
polars,28793,Rust
awesome-macos-command-line,28748,Não especificada
sharp,28743,JavaScript
OpenAPI-Specification,28742,Markdown
remix,28726,TypeScript
go-zero,28696,Go
swift-algorithm-club,28696,Swift
Awesome,28635,Não especificada
algo,28608,Jinja
todomvc,28579,JavaScript
ToolJet,28567,JavaScript
fabric.js,28537,JavaScript
awesome-python-cn,28516,Makefile
influxdb,28506,Rust
composer,28469,PHP
postcss,28410,TypeScript
vuex,28404,JavaScript
spotube,28389,Dart
YesPlayMusic,28383,Vue
Mr.-Ranedeer-AI-Tutor,28381,Não especificada
linkedin-skill-assessments-quizzes,28357,Não especificada
slick,28354,JavaScript
aseprite,28352,C++
RevokeMsgPatcher,28304,C#
cheerio,28304,TypeScript
android_guides,28292,Não especificada
weekly,28291,JavaScript
canal,28276,Java
tqdm,28228,Python
CyberChef,28227,JavaScript
kafka,28208,Java
consul,28187,Go
SpringAll,28173,Java
coolify,28170,PHP
async,28148,JavaScript
lighthouse,28147,JavaScript
rocksdb,28138,C++
rufus,28133,C
python-guide,28125,Batchfile
GPTs,28115,Não especificada
backbone,28100,JavaScript
OpenVoice,28069,Python
django-rest-framework,28050,Python
css-protips,28047,Não especificada
editor.js,28042,TypeScript
machine-learning-for-software-engineers,28027,Não especificada
ChatGPT,27998,Python
chatbot-ui,27951,TypeScript
react-spring,27910,TypeScript
folly,27880,C++
druid,27859,Java
pytorch-lightning,27819,Python
freqtrade,27782,Python
alpine,27779,HTML
the-super-tiny-compiler,27773,JavaScript
HEU_KMS_Activator,27744,Não especificada
spring-cloud-alibaba,27743,Java
ultralytics,27643,Python
legado,27631,Kotlin
mpv,27614,C
llvm-project,27608,LLVM
servo,27601,Rust
handson-ml2,27573,Jupyter Notebook
Data-Science-For-Beginners,27556,Jupyter Notebook
nginxconfig.io,27541,JavaScript
Clone-Wars,27524,Não especificada
react-select,27507,TypeScript
Charts,27487,Swift
Real-ESRGAN,27474,Python
JavaScript30,27465,HTML
croc,27447,Go
immer,27436,JavaScript
mobx,27430,TypeScript
CheatSheetSeries,27425,Python
numpy,27409,Python
waifu2x,27402,Lua
k3s,27385,Go
Daily-Interview-Question,27369,JavaScript
backstage,27368,TypeScript
docsify,27294,JavaScript
yapi,27293,JavaScript
underscore,27287,JavaScript
comprehensive-rust,27280,Rust
xxl-job,27255,Java
vhr,27251,Java
LLM101n,27232,Não especificada
netron,27231,JavaScript
MonitorControl,27141,Swift
weui,27132,Less
applied-ml,27109,Não especificada
ResumeSample,27106,Não especificada
JCSprout,27068,Java
Complete-Python-3-Bootcamp,27052,Jupyter Notebook
plane,27048,TypeScript
data-science-ipython-notebooks,27034,Python
refine,27000,TypeScript
legacy-homebrew,26994,Não especificada
react-three-fiber,26974,TypeScript
directus,26911,TypeScript
reverse-interview,26908,Não especificada
os-tutorial,26867,C
gitbook,26867,TypeScript
outline,26858,TypeScript
mongoose,26848,JavaScript
xstate,26792,TypeScript
Faker,26786,PHP
python-fire,26784,Python
codemirror5,26748,JavaScript
roop,26728,Python
angular-cli,26714,TypeScript
