Nome do Repositório,Estrelas,Pull Requests Aceitas
particles.js,28826,21
v2ray-core,28795,800
polars,28793,8986
awesome-macos-command-line,28748,104
sharp,28743,284
OpenAPI-Specification,28742,1082
remix,28726,3228
go-zero,28696,2022
swift-algorithm-club,28696,608
Awesome,28635,206
algo,28608,530
todomvc,28579,758
ToolJet,28567,4958
fabric.js,28537,2184
awesome-python-cn,28516,51
influxdb,28506,9909
composer,28469,2817
postcss,28410,732
vuex,28404,655
spotube,28389,214
YesPlayMusic,28383,278
Mr.-Ranedeer-AI-Tutor,28381,19
linkedin-skill-assessments-quizzes,28357,5594
slick,28354,247
aseprite,28352,267
RevokeMsgPatcher,28304,10
cheerio,28304,2320
android_guides,28292,10
weekly,28291,136
canal,28276,452
tqdm,28228,284
CyberChef,28227,449
kafka,28208,9028
consul,28187,13215
SpringAll,28173,1
coolify,28170,891
async,28148,536
lighthouse,28147,5248
rocksdb,28138,602
rufus,28133,1
python-guide,28125,683
GPTs,28115,43
backbone,28100,879
OpenVoice,28069,17
django-rest-framework,28050,2956
css-protips,28047,67
editor.js,28042,835
machine-learning-for-software-engineers,28027,60
ChatGPT,27998,294
chatbot-ui,27951,281
react-spring,27910,416
folly,27880,9
druid,27859,1346
pytorch-lightning,27819,8734
freqtrade,27782,5184
alpine,27779,644
the-super-tiny-compiler,27773,20
HEU_KMS_Activator,27744,0
spring-cloud-alibaba,27743,1035
ultralytics,27643,2070
legado,27631,978
mpv,27614,2704
llvm-project,27608,23652
servo,27601,16918
handson-ml2,27573,64
Data-Science-For-Beginners,27556,293
nginxconfig.io,27541,185
Clone-Wars,27524,130
react-select,27507,1040
Charts,27487,418
Real-ESRGAN,27474,21
JavaScript30,27465,152
croc,27447,208
immer,27436,373
mobx,27430,1113
CheatSheetSeries,27425,908
numpy,27409,11800
waifu2x,27402,68
k3s,27385,3391
Daily-Interview-Question,27369,15
backstage,27368,15992
docsify,27294,668
yapi,27293,141
underscore,27287,745
comprehensive-rust,27280,1734
xxl-job,27255,98
vhr,27251,1
LLM101n,27232,0
netron,27231,1
MonitorControl,27141,207
weui,27132,199
applied-ml,27109,208
ResumeSample,27106,2
JCSprout,27068,69
Complete-Python-3-Bootcamp,27052,12
plane,27048,4108
data-science-ipython-notebooks,27034,31
refine,27000,4106
legacy-homebrew,26994,222
react-three-fiber,26974,596
directus,26911,7339
reverse-interview,26908,72
os-tutorial,26867,11
gitbook,26867,358
outline,26858,2310
mongoose,26848,3032
xstate,26792,1868
Faker,26786,823
python-fire,26784,89
codemirror5,26748,592
roop,26728,82
angular-cli,26714,10204
hangzhou_house_knowledge,26712,6
helm,26691,3642
qBittorrent,26678,3467
viper,26678,454
rethinkdb,26675,460
trilium,26663,250
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26637,243
lux,26626,295
ace,26623,1799
mediapipe,26598,184
gitflow,26593,36
dokku,26566,3612
DevToys,26555,480
Python-programming-exercises,26531,0
surrealdb,26522,1302
commander.js,26517,742
server,26484,23568
kit,26451,479
ruoyi-vue-pro,26393,50
aos,26391,38
hosts,26386,470
tiptap,26362,863
90DaysOfDevOps,26335,356
ink,26327,206
bulletproof-react,26280,58
k9s,26277,633
plyr,26256,384
swagger-ui,26237,3152
Detectron,26235,0
bubbletea,26231,464
tokio,26230,3298
dnSpy,26224,53
react-virtualized,26224,453
nodemon,26209,306
coder2gwy,26198,2
tuning_playbook,26193,14
stb,26165,283
miaosha,26155,20
glances,26138,684
