Nome do Repositório,Estrelas,Idade (anos)
influxdb,28472,10.90
composer,28464,13.20
vuex,28395,9.10
postcss,28391,10.90
linkedin-skill-assessments-quizzes,28358,5.11
slick,28351,10.41
Mr.-Ranedeer-AI-Tutor,28351,1.39
spotube,28301,3.51
android_guides,28290,11.17
weekly,28281,7.42
aseprite,28278,10.00
YesPlayMusic,28273,3.86
canal,28261,11.60
cheerio,28257,12.87
tqdm,28203,9.22
RevokeMsgPatcher,28196,5.08
kafka,28178,13.02
consul,28176,10.79
CyberChef,28164,7.73
SpringAll,28154,6.31
async,28142,14.22
lighthouse,28137,8.45
python-guide,28112,13.43
rocksdb,28108,11.72
backbone,28103,13.89
rufus,28099,12.75
GPTs,28077,0.77
django-rest-framework,28034,13.47
css-protips,28031,8.98
machine-learning-for-software-engineers,28018,7.86
ChatGPT,27997,1.71
OpenVoice,27995,0.73
editor.js,27993,8.73
coolify,27972,3.57
chatbot-ui,27900,1.45
react-spring,27898,6.46
folly,27868,12.22
druid,27849,12.80
pytorch-lightning,27797,5.39
the-super-tiny-compiler,27765,8.44
alpine,27747,4.73
spring-cloud-alibaba,27736,6.72
HEU_KMS_Activator,27667,5.16
freqtrade,27654,7.26
handson-ml2,27556,5.62
llvm-project,27555,7.70
servo,27552,12.53
Data-Science-For-Beginners,27536,3.47
mpv,27533,11.85
nginxconfig.io,27530,6.62
Clone-Wars,27509,3.72
ultralytics,27506,1.94
react-select,27497,9.98
legado,27484,5.25
Charts,27477,9.42
JavaScript30,27440,7.70
immer,27426,6.64
mobx,27421,9.44
Real-ESRGAN,27415,3.09
CheatSheetSeries,27403,5.66
croc,27398,6.84
waifu2x,27397,9.26
numpy,27376,13.94
Daily-Interview-Question,27366,5.59
k3s,27357,6.23
backstage,27336,4.57
yapi,27288,8.22
underscore,27282,14.82
docsify,27269,7.75
xxl-job,27242,8.73
vhr,27241,6.63
comprehensive-rust,27228,1.66
netron,27189,13.65
weui,27137,9.67
MonitorControl,27109,6.93
LLM101n,27105,0.24
ResumeSample,27105,9.95
applied-ml,27089,4.13
JCSprout,27071,6.67
Complete-Python-3-Bootcamp,27026,6.52
data-science-ipython-notebooks,27017,9.57
legacy-homebrew,26997,15.25
plane,26951,1.75
react-three-fiber,26945,5.48
reverse-interview,26894,4.95
directus,26868,11.69
os-tutorial,26851,9.89
refine,26851,3.58
gitbook,26844,10.39
mongoose,26837,14.37
outline,26801,8.25
Faker,26787,12.85
python-fire,26773,7.49
xstate,26765,8.93
codemirror5,26746,13.60
hangzhou_house_knowledge,26717,6.49
angular-cli,26704,9.21
rethinkdb,26668,11.81
helm,26665,8.88
viper,26645,10.38
trilium,26634,7.25
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26626,11.60
ace,26617,13.82
gitflow,26606,14.58
qBittorrent,26594,12.54
lux,26589,6.49
mediapipe,26567,5.19
dokku,26533,11.20
Python-programming-exercises,26516,12.18
DevToys,26508,2.89
commander.js,26507,13.02
surrealdb,26485,2.70
server,26444,8.22
kit,26443,9.55
aos,26374,9.12
hosts,26354,12.36
ruoyi-vue-pro,26336,3.57
ink,26315,7.19
90DaysOfDevOps,26308,2.65
tiptap,26280,6.00
Deep-Live-Cam,26254,0.91
Detectron,26236,6.87
plyr,26235,9.51
roop,26227,1.23
bulletproof-react,26218,3.23
swagger-ui,26216,13.10
react-virtualized,26212,8.80
tokio,26211,7.95
nodemon,26203,13.88
dnSpy,26195,9.14
k9s,26191,5.57
coder2gwy,26172,3.64
tuning_playbook,26166,1.59
miaosha,26151,5.93
bubbletea,26141,4.61
stb,26124,10.24
vagrant,26119,14.58
glances,26098,12.71
mindsdb,26041,6.05
UTM,26036,5.36
nprogress,26033,11.00
fastai,26019,6.95
the_silver_searcher,26008,12.75
xgboost,26005,10.54
Web,25996,7.63
Tvlist-awesome-m3u-m3u8,25980,7.50
mongo,25972,15.59
select2,25862,12.46
tinygrad,25845,3.84
mantine,25838,3.62
turborepo,25822,2.87
redash,25819,10.81
fetch,25804,9.86
fastText,25799,8.10
cmder,25776,11.12
paper-reading,25751,2.83
hacker-laws,25713,6.57
fastjson,25699,12.80
request,25683,13.58
Depix,25682,3.70
python-telegram-bot,25674,9.12
quasar,25647,8.88
darknet,25633,10.36
llama3,25629,0.43
awesome-electron,25627,9.33
Modernizr,25626,14.90
fonts,25592,11.67
lottie-ios,25591,7.87
lossless-cut,25580,7.81
butterknife,25560,11.46
DeepFaceLive,25541,3.68
emscripten,25540,13.52
awesome-cto,25522,7.68
spleeter,25513,4.90
full-stack-fastapi-template,25500,5.49
headlessui,25480,3.93
restic,25468,10.32
tdesktop,25466,10.30
fish-shell,25441,12.28
Rectangle,25429,5.17
YouCompleteMe,25394,12.35
ItChat,25382,8.59
cascadia-code,25366,5.11
filebrowser,25341,8.94
awesome-deep-learning-papers,25324,8.21
modern-js-cheatsheet,25291,6.92
Signal-Android,25275,12.68
toBeTopJavaer,25269,5.82
MiniGPT-4,25252,1.35
Free-Certifications,25235,4.05
openssl,25227,11.59
Pake,25217,1.85
taichi,25201,7.74
discord.js,25182,9.03
ngx-admin,25174,8.24
fe-interview,25171,5.35
incubator-seata,25166,5.65
rollup,25151,9.27
handson-ml,25150,8.51
so-vits-svc,25139,1.45
vllm,25131,1.53
srs,25113,9.31
iris,25093,8.56
Hello-Python,25089,2.05
dragonfly,25056,2.69
SDWebImage,25023,14.91
30-Days-Of-React,24993,3.89
Avalonia,24978,10.71
DeepSpeech,24953,8.22
proxyee-down,24943,6.82
firecracker,24928,6.84
LLMs-from-scratch,24928,1.08
langflow,24919,1.53
jumpserver,24910,10.13
apollo,24901,7.13
faas,24901,7.66
react-native-elements,24892,7.95
ChatDev,24871,0.98
SmartRefreshLayout,24843,7.22
go-patterns,24839,8.68
nsq,24807,12.27
nylas-mail,24801,9.85
go,24785,11.02
pipenv,24782,7.58
eslint,24778,11.14
setup-ipsec-vpn,24776,8.62
textual,24775,3.37
feather,24748,10.23
diffusers,24740,2.23
awesome-vscode,24732,8.53
table,24715,7.83
awesome-swift,24667,10.11
localForage,24664,10.81
EventBus,24658,12.10
openzeppelin-contracts,24649,8.05
react-admin,24642,8.10
micro,24635,8.45
awesome-actions,24631,5.84
vscodium,24621,6.02
rust-course,24614,6.04
TrackersListCollection,24609,4.88
devtools,24599,9.89
create-t3-app,24598,2.24
docker_practice,24597,9.96
idiomatic.js,24564,13.24
eShopOnContainers,24553,7.87
iTerm2-Color-Schemes,24553,13.39
awesome-datascience,24514,10.13
envoy,24509,8.03
Mask_RCNN,24490,6.84
autocomplete,24484,3.89
logrus,24445,10.84
CasaOS,24431,2.90
locust,24429,13.51
flameshot,24374,7.28
fyne,24333,6.54
RxSwift,24299,9.37
Telegram,24292,10.82
k6,24280,8.42
vnpy,24280,9.47
CLIP,24279,3.68
celery,24277,15.32
core-js,24276,11.09
components,24273,8.63
Wox,24264,10.67
pkg,24263,8.03
BaseRecyclerViewAdapterHelper,24261,8.36
coc.nvim,24258,6.31
wttr.in,24255,8.65
medusa,24229,4.59
stats,24221,5.23
vapor,24219,8.59
awesome-sysadmin,24217,9.66
data-engineering-zoomcamp,24208,2.83
wiki,24203,8.01
elixir,24185,13.61
nanoid,24163,7.04
mdb-ui-kit,24144,10.01
AdGuardHome,24145,8.12
